Fri Jan 15 03:52:40 2021 Fold 2, Epoch 21, lr: 0.0001345, train loss: 0.00814, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 03:54:07 2021 Fold 2, Epoch 22, lr: 0.0001285, train loss: 0.00467, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 03:55:34 2021 Fold 2, Epoch 23, lr: 0.0001223, train loss: 0.00677, valid loss: 2.38095, Acc: 97.5758, AUC: 0.024242.
Fri Jan 15 03:57:01 2021 Fold 2, Epoch 24, lr: 0.0001160, train loss: 0.01334, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:58:28 2021 Fold 2, Epoch 25, lr: 0.0001096, train loss: 0.00424, valid loss: 1.48810, Acc: 98.4848, AUC: 0.015152.
Fri Jan 15 03:59:55 2021 Fold 2, Epoch 26, lr: 0.0001032, train loss: 0.00901, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 04:01:21 2021 Fold 2, Epoch 27, lr: 0.0000968, train loss: 0.03650, valid loss: 14.04762, Acc: 86.0606, AUC: 0.139394.
Fri Jan 15 04:02:49 2021 Fold 2, Epoch 28, lr: 0.0000904, train loss: 0.03285, valid loss: 4.16667, Acc: 95.7576, AUC: 0.042424.
Fri Jan 15 04:04:16 2021 Fold 2, Epoch 29, lr: 0.0000840, train loss: 0.01040, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 04:05:43 2021 Fold 2, Epoch 30, lr: 0.0000777, train loss: 0.01167, valid loss: 3.57143, Acc: 96.3636, AUC: 0.036364.
Fri Jan 15 04:07:11 2021 Fold 2, Epoch 31, lr: 0.0000715, train loss: 0.01456, valid loss: 2.97619, Acc: 96.9697, AUC: 0.030303.
Fri Jan 15 04:08:37 2021 Fold 2, Epoch 32, lr: 0.0000655, train loss: 0.01005, valid loss: 3.57143, Acc: 96.3636, AUC: 0.036364.
Fri Jan 15 04:10:04 2021 Fold 2, Epoch 33, lr: 0.0000595, train loss: 0.00741, valid loss: 17.32143, Acc: 82.7273, AUC: 0.172727.
Fri Jan 15 04:11:31 2021 Fold 2, Epoch 34, lr: 0.0000537, train loss: 0.00859, valid loss: 7.44048, Acc: 92.4242, AUC: 0.075758.
Fri Jan 15 04:12:59 2021 Fold 2, Epoch 35, lr: 0.0000482, train loss: 0.00680, valid loss: 2.67857, Acc: 97.2727, AUC: 0.027273.
Fri Jan 15 04:14:25 2021 Fold 2, Epoch 36, lr: 0.0000428, train loss: 0.00920, valid loss: 6.54762, Acc: 93.3333, AUC: 0.066667.
Fri Jan 15 04:15:52 2021 Fold 2, Epoch 37, lr: 0.0000377, train loss: 0.00404, valid loss: 5.53571, Acc: 94.5455, AUC: 0.054545.
Fri Jan 15 04:17:19 2021 Fold 2, Epoch 38, lr: 0.0000328, train loss: 0.00186, valid loss: 3.57143, Acc: 96.3636, AUC: 0.036364.
Fri Jan 15 04:18:46 2021 Fold 2, Epoch 39, lr: 0.0000282, train loss: 0.00119, valid loss: 1.78571, Acc: 98.1818, AUC: 0.018182.
Fri Jan 15 04:20:14 2021 Fold 2, Epoch 40, lr: 0.0000239, train loss: 0.00231, valid loss: 1.19048, Acc: 98.7879, AUC: 0.012121.
Fri Jan 15 04:21:42 2021 Fold 2, Epoch 41, lr: 0.0000199, train loss: 0.00368, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 04:23:10 2021 Fold 2, Epoch 42, lr: 0.0000162, train loss: 0.00279, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 04:24:38 2021 Fold 2, Epoch 43, lr: 0.0000129, train loss: 0.00433, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 04:26:05 2021 Fold 2, Epoch 44, lr: 0.0000099, train loss: 0.00860, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 04:27:33 2021 Fold 2, Epoch 45, lr: 0.0000073, train loss: 0.00067, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 04:29:00 2021 Fold 2, Epoch 46, lr: 0.0000051, train loss: 0.01003, valid loss: 4.76190, Acc: 95.1515, AUC: 0.048485.
Fri Jan 15 04:30:27 2021 Fold 2, Epoch 47, lr: 0.0000033, train loss: 0.00023, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 04:31:54 2021 Fold 2, Epoch 48, lr: 0.0000018, train loss: 0.00047, valid loss: 1.19048, Acc: 98.7879, AUC: 0.012121.
Fri Jan 15 04:33:21 2021 Fold 2, Epoch 49, lr: 0.0000008, train loss: 0.00286, valid loss: 4.16667, Acc: 95.7576, AUC: 0.042424.
Fri Jan 15 04:34:48 2021 Fold 2, Epoch 50, lr: 0.0000002, train loss: 0.00164, valid loss: 1.78571, Acc: 98.1818, AUC: 0.018182.
Fri Jan 15 04:36:16 2021 Fold 3, Epoch 1, lr: 0.0000200, train loss: 1.02472, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 04:37:43 2021 Fold 3, Epoch 2, lr: 0.0002000, train loss: 0.92791, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 04:39:11 2021 Fold 3, Epoch 3, lr: 0.0001998, train loss: 0.89653, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 04:40:39 2021 Fold 3, Epoch 4, lr: 0.0001992, train loss: 0.81902, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 04:44:34 2021 Fold 3, Epoch 5, lr: 0.0001982, train loss: 0.71942, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 04:46:06 2021 Fold 3, Epoch 6, lr: 0.0001967, train loss: 0.70314, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
